-DOCSTART-	_	_	O
cafe	cafe	NOUN	B-VAR
2	2	NUM	I-VAR
for	for	ADP	O
an	an	DET	O
hour	hour	NOUN	O
costs	cost	VERB	B-OBJ_NAME
$	$	SYM	O
550	550	NUM	B-PARAM
and	and	CCONJ	O
makes	make	VERB	O
14	14	NUM	B-PARAM
lattes	latte	NOUN	O
,	,	PUNCT	O
20	20	NUM	B-PARAM
americanos	americanos	ADV	O
,	,	PUNCT	O
and	and	CCONJ	O
9	9	NUM	B-PARAM
macchiatos	macchiato	NOUN	O
.	.	PUNCT	O
To	to	PART	O
meet	meet	VERB	O
demand	demand	NOUN	O
,	,	PUNCT	O
she	she	PRON	O
must	must	AUX	O
make	make	VERB	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
90	90	NUM	B-LIMIT
lattes	latte	NOUN	O
,	,	PUNCT	O
80	80	NUM	B-LIMIT
americanos	americanos	ADV	O
,	,	PUNCT	O
and	and	CCONJ	O
40	40	NUM	B-LIMIT
macchiatos	macchiato	NOUN	O
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
hours	hour	NOUN	O
should	should	AUX	O
she	she	PRON	O
run	run	VERB	O
each	each	DET	O
cafe	cafe	NOUN	O
to	to	PART	O
minimize	minimize	VERB	B-OBJ_DIR
costs	cost	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
factory	factory	NOUN	O
makes	make	VERB	O
dotted	dotted	ADJ	B-VAR
paper	paper	NOUN	I-VAR
and	and	CCONJ	O
grid	grid	NOUN	B-VAR
paper	paper	NOUN	I-VAR
.	.	PUNCT	O
Both	both	DET	O
have	have	VERB	O
to	to	PART	O
go	go	VERB	O
through	through	ADP	O
a	a	DET	O
cutting	cut	VERB	O
machine	machine	NOUN	O
and	and	CCONJ	O
a	a	DET	O
printing	print	VERB	O
machine	machine	NOUN	O
.	.	PUNCT	O
A	a	DET	O
ream	ream	NOUN	O
of	of	ADP	O
dotted	dotted	ADJ	B-VAR
paper	paper	NOUN	I-VAR
requires	require	VERB	O
3	3	NUM	B-PARAM
minutes	minute	NOUN	O
on	on	ADP	O
the	the	DET	O
cutting	cut	VERB	O
machine	machine	NOUN	O
and	and	CCONJ	O
5.5	5.5	NUM	B-PARAM
minutes	minute	NOUN	O
on	on	ADP	O
the	the	DET	O
printing	print	VERB	O
machine	machine	NOUN	O
.	.	PUNCT	O
A	a	DET	O
ream	ream	NOUN	O
of	of	ADP	O
grid	grid	NOUN	B-VAR
paper	paper	NOUN	I-VAR
requires	require	VERB	O
1.5	1.5	NUM	B-PARAM
minutes	minute	NOUN	O
on	on	ADP	O
the	the	DET	O
cutting	cut	VERB	O
machine	machine	NOUN	O
and	and	CCONJ	O
7	7	NUM	B-PARAM
minutes	minute	NOUN	O
on	on	ADP	O
the	the	DET	O
printing	print	VERB	O
machine	machine	NOUN	O
.	.	PUNCT	O
In	in	ADP	O
a	a	DET	O
week	week	NOUN	O
,	,	PUNCT	O
each	each	DET	O
machine	machine	NOUN	O
is	be	AUX	O
available	available	ADJ	B-CONST_DIR
for	for	ADP	O
3000	3000	NUM	B-LIMIT
minutes	minute	NOUN	O
.	.	PUNCT	O
There	there	PRON	O
is	be	AUX	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
5.5	5.5	NUM	B-PARAM
per	per	ADP	O
ream	ream	NOUN	O
of	of	ADP	O
dotted	dotted	ADJ	B-VAR
paper	paper	NOUN	I-VAR
and	and	CCONJ	O
a	a	DET	O
profit	profit	NOUN	B-OBJ_NAME
of	of	ADP	O
$	$	SYM	O
11	11	NUM	B-PARAM
per	per	ADP	O
ream	ream	NOUN	O
of	of	ADP	O
grid	grid	NOUN	B-VAR
paper	paper	NOUN	I-VAR
.	.	PUNCT	O
How	how	ADV	O
many	many	ADJ	O
reams	ream	NOUN	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
the	the	DET	O
factory	factory	NOUN	O
make	make	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
grandmother	grandmother	NOUN	O
knits	knit	VERB	O
blankets	blanket	NOUN	B-VAR
and	and	CCONJ	O
sweaters	sweater	NOUN	B-VAR
for	for	ADP	O
her	her	PRON	O
community	community	NOUN	O
.	.	PUNCT	O
A	a	DET	O
blanket	blanket	NOUN	B-VAR
requires	require	VERB	O
30	30	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
yarn	yarn	NOUN	O
and	and	CCONJ	O
5	5	NUM	B-PARAM
hours	hour	NOUN	O
of	of	ADP	O
knitting	knitting	NOUN	O
.	.	PUNCT	O
A	a	DET	O
sweater	sweater	NOUN	B-VAR
requires	require	VERB	O
20	20	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
yarn	yarn	NOUN	O
and	and	CCONJ	O
4	4	NUM	B-PARAM
hours	hour	NOUN	O
of	of	ADP	O
knitting	knitting	NOUN	O
.	.	PUNCT	O
The	the	DET	O
grandmother	grandmother	NOUN	O
has	have	VERB	O
200	200	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
yarn	yarn	NOUN	O
available	available	ADJ	B-CONST_DIR
and	and	CCONJ	O
40	40	NUM	B-LIMIT
hours	hour	NOUN	O
of	of	ADP	O
knitting	knit	VERB	O
available	available	ADJ	B-CONST_DIR
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
blanket	blanket	NOUN	B-VAR
is	be	AUX	O
$	$	SYM	O
5.50	5.50	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
sweater	sweater	NOUN	B-VAR
is	be	VERB	O
$	$	SYM	O
5	5	NUM	B-PARAM
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
she	she	PRON	O
knit	knit	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
her	her	PRON	O
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
farmer	farmer	NOUN	O
has	have	VERB	B-CONST_DIR
200	200	NUM	B-LIMIT
acres	acre	NOUN	O
of	of	ADP	O
land	land	NOUN	O
to	to	PART	O
grow	grow	VERB	O
oranges	orange	NOUN	B-VAR
and	and	CCONJ	O
grapefruits	grapefruit	NOUN	B-VAR
.	.	PUNCT	O
He	he	PRON	O
must	must	AUX	O
grow	grow	VERB	O
at	at	ADP	B-CONST_DIR
least	least	ADV	I-CONST_DIR
60	60	NUM	B-LIMIT
acres	acre	NOUN	O
of	of	ADP	O
oranges	orange	NOUN	B-VAR
and	and	CCONJ	O
at	at	ADV	B-CONST_DIR
least	least	ADJ	I-CONST_DIR
50	50	NUM	B-LIMIT
acres	acre	NOUN	O
of	of	ADP	O
grapefruits	grapefruit	NOUN	B-VAR
.	.	PUNCT	O
The	the	DET	O
farmer	farmer	NOUN	O
prefers	prefer	VERB	O
to	to	PART	O
grow	grow	VERB	O
more	more	ADJ	B-CONST_DIR
grapefruits	grapefruit	NOUN	B-VAR
than	than	SCONJ	O
oranges	orange	NOUN	B-VAR
but	but	CCONJ	O
due	due	ADP	O
to	to	ADP	O
a	a	DET	O
shortage	shortage	NOUN	O
,	,	PUNCT	O
he	he	PRON	O
can	can	AUX	O
grow	grow	VERB	O
at	at	ADP	B-CONST_DIR
most	most	ADV	I-CONST_DIR
twice	twice	DET	B-PARAM
the	the	DET	O
amount	amount	NOUN	O
of	of	ADP	O
grapefruits	grapefruit	NOUN	B-VAR
as	as	ADP	O
oranges	orange	NOUN	B-VAR
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
acre	acre	NOUN	O
of	of	ADP	O
oranges	orange	NOUN	B-VAR
is	be	AUX	O
$	$	SYM	O
200	200	NUM	B-PARAM
,	,	PUNCT	O
and	and	CCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
acre	acre	NOUN	O
of	of	ADP	O
grapefruits	grapefruit	NOUN	B-VAR
is	be	VERB	O
$	$	SYM	O
220	220	NUM	B-PARAM
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
acres	acre	NOUN	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
be	be	AUX	O
grown	grow	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

An	an	DET	O
electronics	electronic	NOUN	O
store	store	NOUN	O
owner	owner	NOUN	O
wants	want	VERB	O
to	to	PART	O
know	know	VERB	O
how	how	ADV	O
many	many	ADJ	O
headsets	headset	NOUN	B-VAR
and	and	CCONJ	O
keyboards	keyboard	NOUN	B-VAR
are	be	AUX	O
enough	enough	ADJ	O
to	to	PART	O
keep	keep	VERB	O
in	in	ADP	O
inventory	inventory	NOUN	O
.	.	PUNCT	O
A	a	DET	O
headset	headset	NOUN	B-VAR
will	will	AUX	O
earn	earn	VERB	O
the	the	DET	O
store	store	NOUN	O
$	$	SYM	O
80	80	NUM	B-PARAM
in	in	ADP	O
profits	profit	NOUN	B-OBJ_NAME
,	,	PUNCT	O
and	and	CCONJ	O
a	a	DET	O
keyboard	keyboard	NOUN	B-VAR
will	will	AUX	O
earn	earn	VERB	O
$	$	SYM	O
50	50	NUM	B-PARAM
.	.	PUNCT	O
A	a	DET	O
headset	headset	NOUN	B-VAR
requires	require	VERB	O
2.5	2.5	NUM	B-PARAM
sq	sq	NOUN	O
ft	ft	PROPN	O
of	of	ADP	O
floor	floor	NOUN	O
space	space	NOUN	O
,	,	PUNCT	O
whereas	whereas	SCONJ	O
a	a	DET	O
keyboard	keyboard	NOUN	B-VAR
requires	require	VERB	O
1.5	1.5	NUM	B-PARAM
sq	sq	NOUN	O
ft	ft	NOUN	O
.	.	PUNCT	O
In	in	ADP	O
total	total	NOUN	O
,	,	PUNCT	O
200	200	NUM	B-LIMIT
sq	sq	NOUN	O
ft	ft	PROPN	O
of	of	ADP	O
floor	floor	NOUN	O
space	space	NOUN	O
is	be	AUX	O
available	available	ADJ	B-CONST_DIR
.	.	PUNCT	O
The	the	DET	O
store	store	NOUN	O
stocks	stock	VERB	O
only	only	ADV	O
headsets	headset	NOUN	B-VAR
and	and	CCONJ	O
keyboards	keyboard	NOUN	B-VAR
.	.	PUNCT	O
Corporate	corporate	ADJ	O
has	have	AUX	O
required	require	VERB	O
that	that	SCONJ	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
70	70	NUM	B-LIMIT
%	%	NOUN	I-LIMIT
of	of	ADP	O
all	all	DET	O
appliances	appliance	NOUN	O
in	in	ADP	O
stock	stock	NOUN	O
be	be	VERB	O
keyboards	keyboard	NOUN	B-VAR
.	.	PUNCT	O
Finally	finally	ADV	O
,	,	PUNCT	O
a	a	DET	O
headset	headset	NOUN	B-VAR
costs	cost	VERB	O
$	$	SYM	O
200	200	NUM	B-PARAM
for	for	ADP	O
the	the	DET	O
store	store	NOUN	O
,	,	PUNCT	O
and	and	CCONJ	O
a	a	DET	O
keyboard	keyboard	NOUN	B-VAR
,	,	PUNCT	O
$	$	SYM	O
110	110	NUM	B-PARAM
.	.	PUNCT	O
The	the	DET	O
store	store	NOUN	O
wants	want	VERB	O
to	to	PART	O
spend	spend	VERB	O
at	at	ADV	B-CONST_DIR
most	most	ADV	I-CONST_DIR
$	$	SYM	O
10000	10000	NUM	B-LIMIT
.	.	PUNCT	O
Formulate	formulate	VERB	O
an	an	DET	O
LP	lp	NOUN	O
that	that	DET	O
can	can	AUX	O
be	be	AUX	O
used	use	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
the	the	DET	O
store	store	NOUN	O
's	's	PART	O
profit	profit	NOUN	B-OBJ_NAME
.	.	PUNCT	O

A	a	DET	O
company	company	NOUN	O
makes	make	VERB	O
surfboards	surfboard	NOUN	B-VAR
and	and	CCONJ	O
skateboards	skateboard	NOUN	B-VAR
.	.	PUNCT	O
Each	each	DET	O
surfboard	surfboard	NOUN	B-VAR
requires	require	VERB	O
5	5	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
wood	wood	NOUN	O
and	and	CCONJ	O
3	3	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
paint	paint	NOUN	O
.	.	PUNCT	O
Each	each	DET	O
skateboard	skateboard	NOUN	B-VAR
requires	require	VERB	O
4	4	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
wood	wood	NOUN	O
and	and	CCONJ	O
2	2	NUM	B-PARAM
units	unit	NOUN	O
of	of	ADP	O
paint	paint	NOUN	O
.	.	PUNCT	O
At	at	ADP	O
the	the	DET	O
company	company	NOUN	O
,	,	PUNCT	O
there	there	PRON	O
are	be	AUX	O
700	700	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
wood	wood	NOUN	O
available	available	ADJ	B-CONST_DIR
and	and	CCONJ	O
320	320	NUM	B-LIMIT
units	unit	NOUN	O
of	of	ADP	O
paint	paint	NOUN	O
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
surfboard	surfboard	NOUN	B-VAR
is	be	AUX	O
$	$	SYM	O
70	70	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
skateboard	skateboard	NOUN	B-VAR
is	be	VERB	O
$	$	SYM	O
45	45	NUM	B-PARAM
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
be	be	AUX	O
made	make	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

Marty	Marty	PROPN	O
has	have	VERB	B-CONST_DIR
$	$	SYM	O
10000	10000	NUM	B-LIMIT
to	to	PART	O
invest	invest	VERB	O
in	in	ADP	O
both	both	CCONJ	O
the	the	DET	O
wood	wood	NOUN	B-VAR
and	and	CCONJ	O
bamboo	bamboo	NOUN	B-VAR
industries	industry	NOUN	I-VAR
.	.	PUNCT	O
He	he	PRON	O
has	have	AUX	O
decided	decide	VERB	O
that	that	SCONJ	O
the	the	DET	O
investment	investment	NOUN	O
in	in	ADP	O
the	the	DET	O
wood	wood	NOUN	B-VAR
industry	industry	NOUN	I-VAR
must	must	AUX	O
be	be	VERB	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
four	four	NUM	B-PARAM
times	time	NOUN	O
as	as	ADV	O
much	much	ADV	O
as	as	ADP	O
that	that	DET	O
in	in	ADP	O
the	the	DET	O
bamboo	bamboo	NOUN	B-VAR
industry	industry	NOUN	I-VAR
.	.	PUNCT	O
However	however	ADV	O
,	,	PUNCT	O
he	he	PRON	O
has	have	AUX	O
restricted	restrict	VERB	O
to	to	PART	O
invest	invest	VERB	O
at	at	ADP	B-CONST_DIR
most	most	ADV	I-CONST_DIR
$	$	SYM	O
7000	7000	NUM	B-LIMIT
in	in	ADP	O
the	the	DET	O
wood	wood	NOUN	B-VAR
industry	industry	NOUN	I-VAR
.	.	PUNCT	O
If	if	SCONJ	O
investments	investment	NOUN	O
in	in	ADP	O
the	the	DET	O
wood	wood	NOUN	B-VAR
industry	industry	NOUN	I-VAR
earn	earn	VERB	O
7	7	NUM	B-PARAM
%	%	NOUN	I-PARAM
return	return	NOUN	B-OBJ_NAME
and	and	CCONJ	O
investments	investment	NOUN	O
in	in	ADP	O
the	the	DET	O
bamboo	bamboo	NOUN	B-VAR
industry	industry	NOUN	I-VAR
earn	earn	VERB	O
a	a	DET	O
3	3	NUM	B-PARAM
%	%	NOUN	I-PARAM
return	return	NOUN	B-OBJ_NAME
,	,	PUNCT	O
how	how	ADV	O
much	much	ADV	O
should	should	AUX	O
he	he	PRON	O
invest	invest	VERB	O
in	in	ADP	O
each	each	DET	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
his	his	PRON	O
average	average	ADJ	O
return	return	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
food	food	NOUN	O
truck	truck	NOUN	O
sells	sell	VERB	O
burritos	burritos	ADV	B-VAR
and	and	CCONJ	O
tacitos	tacitos	NOUN	B-VAR
.	.	PUNCT	O
To	to	PART	O
stay	stay	VERB	O
in	in	ADP	O
business	business	NOUN	O
,	,	PUNCT	O
they	they	PRON	O
must	must	AUX	O
sell	sell	VERB	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
30	30	NUM	B-LIMIT
orders	order	NOUN	O
of	of	ADP	O
burritos	burritos	NOUN	B-VAR
but	but	CCONJ	O
they	they	PRON	O
can	can	AUX	O
make	make	VERB	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
100	100	NUM	B-LIMIT
orders	order	NOUN	O
of	of	ADP	O
burritos	burrito	NOUN	B-VAR
.	.	PUNCT	O
Also	also	ADV	O
,	,	PUNCT	O
they	they	PRON	O
must	must	AUX	O
sell	sell	VERB	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
20	20	NUM	B-LIMIT
orders	order	NOUN	O
of	of	ADP	O
tacitos	tacitos	NOUN	B-VAR
but	but	CCONJ	O
they	they	PRON	O
can	can	AUX	O
make	make	VERB	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
150	150	NUM	B-LIMIT
orders	order	NOUN	O
of	of	ADP	O
tacitos	tacitos	NOUN	B-VAR
.	.	PUNCT	O
Due	due	ADP	O
to	to	ADP	O
the	the	DET	O
lack	lack	NOUN	O
of	of	ADP	O
help	help	NOUN	O
,	,	PUNCT	O
the	the	DET	O
food	food	NOUN	O
truck	truck	NOUN	O
can	can	AUX	O
only	only	ADV	O
sell	sell	VERB	O
250	250	NUM	B-LIMIT
orders	order	NOUN	O
in	in	ADP	O
total	total	NOUN	B-CONST_DIR
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
price	price	NOUN	B-OBJ_NAME
per	per	ADP	O
order	order	NOUN	O
of	of	ADP	O
burritos	burrito	NOUN	B-VAR
is	be	AUX	O
$	$	SYM	O
17	17	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
price	price	NOUN	B-OBJ_NAME
per	per	ADP	O
order	order	NOUN	O
of	of	ADP	O
tacitos	tacitos	NOUN	B-VAR
is	be	VERB	O
$	$	SYM	O
12	12	NUM	B-PARAM
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
orders	order	NOUN	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
they	they	PRON	O
sell	sell	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
the	the	DET	O
revenue	revenue	NOUN	B-OBJ_NAME
?	?	PUNCT	O

A	a	DET	O
glass	glass	NOUN	O
company	company	NOUN	O
makes	make	VERB	O
sliding	slide	VERB	B-VAR
doors	door	NOUN	I-VAR
and	and	CCONJ	O
windows	window	NOUN	B-VAR
.	.	PUNCT	O
They	they	PRON	O
have	have	VERB	O
orders	order	NOUN	O
for	for	ADP	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
120	120	NUM	B-LIMIT
sliding	slide	VERB	B-VAR
doors	door	NOUN	I-VAR
and	and	CCONJ	O
at	at	ADV	B-CONST_DIR
least	least	ADJ	I-CONST_DIR
110	110	NUM	B-LIMIT
windows	window	NOUN	B-VAR
per	per	ADP	O
day	day	NOUN	O
.	.	PUNCT	O
However	however	ADV	O
,	,	PUNCT	O
due	due	ADP	O
to	to	ADP	O
supply	supply	NOUN	O
constraints	constraint	NOUN	O
,	,	PUNCT	O
the	the	DET	O
company	company	NOUN	O
can	can	AUX	O
make	make	VERB	O
at	at	ADP	B-CONST_DIR
most	most	ADV	I-CONST_DIR
210	210	NUM	B-LIMIT
sliding	slide	VERB	B-VAR
doors	door	NOUN	I-VAR
and	and	CCONJ	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
170	170	NUM	B-LIMIT
windows	window	NOUN	B-VAR
per	per	ADP	O
day	day	NOUN	O
.	.	PUNCT	O
In	in	ADP	O
addition	addition	NOUN	O
,	,	PUNCT	O
they	they	PRON	O
have	have	VERB	O
a	a	DET	O
contract	contract	NOUN	O
to	to	PART	O
ship	ship	VERB	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
250	250	NUM	B-LIMIT
products	product	NOUN	O
of	of	ADP	O
either	either	DET	O
type	type	NOUN	O
per	per	ADP	O
day	day	NOUN	O
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
sliding	slide	VERB	B-VAR
door	door	NOUN	I-VAR
is	be	VERB	O
$	$	SYM	O
30	30	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
window	window	NOUN	B-VAR
is	be	AUX	O
$	$	SYM	O
25	25	NUM	B-PARAM
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
of	of	ADP	O
each	each	DET	O
should	should	AUX	O
the	the	DET	O
company	company	NOUN	O
make	make	VERB	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
profit	profit	NOUN	B-OBJ_NAME
?	?	PUNCT	O

Theta	Theta	PROPN	O
Sandwich	Sandwich	PROPN	O
wants	want	VERB	O
to	to	PART	O
advertise	advertise	VERB	O
its	its	PRON	O
new	new	ADJ	O
product	product	NOUN	O
.	.	PUNCT	O
They	they	PRON	O
want	want	VERB	O
to	to	PART	O
use	use	VERB	O
three	three	NUM	O
types	type	NOUN	O
of	of	ADP	O
ads	ad	NOUN	O
:	:	PUNCT	O
newspaper	newspaper	NOUN	B-VAR
ads	ad	NOUN	I-VAR
,	,	PUNCT	O
radio	radio	NOUN	B-VAR
ads	ad	NOUN	I-VAR
,	,	PUNCT	O
and	and	CCONJ	O
television	television	NOUN	B-VAR
ads	ad	NOUN	I-VAR
.	.	PUNCT	O
The	the	DET	O
cost	cost	NOUN	O
for	for	ADP	O
each	each	DET	O
option	option	NOUN	O
along	along	ADP	O
with	with	ADP	O
the	the	DET	O
expected	expect	VERB	O
viewership	viewership	NOUN	O
is	be	AUX	O
given	give	VERB	O
.	.	PUNCT	O
A	a	DET	O
newspaper	newspaper	NOUN	B-VAR
ad	ad	NOUN	I-VAR
costs	cost	VERB	O
$	$	SYM	O
1200	1200	NUM	B-PARAM
and	and	CCONJ	O
attracts	attract	VERB	O
5000	5000	NUM	B-PARAM
viewers	viewer	NOUN	B-OBJ_NAME
.	.	PUNCT	O
A	a	DET	O
radio	radio	NOUN	B-VAR
ad	ad	NOUN	I-VAR
costs	cost	VERB	O
$	$	SYM	O
500	500	NUM	B-PARAM
and	and	CCONJ	O
attracts	attract	VERB	O
1000	1000	NUM	B-PARAM
viewers	viewer	NOUN	B-OBJ_NAME
.	.	PUNCT	O
A	a	DET	O
television	television	NOUN	B-VAR
ad	ad	NOUN	I-VAR
costs	cost	VERB	O
$	$	SYM	O
2000	2000	NUM	B-PARAM
and	and	CCONJ	O
attracts	attract	VERB	O
8000	8000	NUM	B-PARAM
viewers	viewer	NOUN	B-OBJ_NAME
.	.	PUNCT	O
To	to	PART	O
avoid	avoid	VERB	O
annoying	annoying	ADJ	O
customers	customer	NOUN	O
,	,	PUNCT	O
the	the	DET	O
city	city	NOUN	O
has	have	AUX	O
limited	limit	VERB	B-CONST_DIR
the	the	DET	I-CONST_DIR
number	number	NOUN	I-CONST_DIR
of	of	ADP	O
radio	radio	NOUN	B-VAR
ads	ad	NOUN	I-VAR
from	from	ADP	O
a	a	DET	O
single	single	ADJ	O
company	company	NOUN	O
to	to	ADP	O
10	10	NUM	B-LIMIT
.	.	PUNCT	O
In	in	ADP	O
addition	addition	NOUN	O
,	,	PUNCT	O
at	at	ADP	B-CONST_DIR
most	most	ADJ	I-CONST_DIR
a	a	DET	O
third	third	NOUN	B-LIMIT
of	of	ADP	O
the	the	DET	O
total	total	ADJ	O
number	number	NOUN	O
of	of	ADP	O
ads	ad	NOUN	O
should	should	AUX	O
be	be	VERB	O
television	television	NOUN	B-VAR
ads	ad	NOUN	I-VAR
and	and	CCONJ	O
at	at	ADV	B-CONST_DIR
least	least	ADV	I-CONST_DIR
20	20	NUM	B-LIMIT
%	%	NOUN	I-LIMIT
of	of	ADP	O
the	the	DET	O
ads	ad	NOUN	O
should	should	AUX	O
be	be	VERB	O
newspaper	newspaper	NOUN	B-VAR
ads	ad	NOUN	I-VAR
.	.	PUNCT	O
If	if	SCONJ	O
the	the	DET	O
weekly	weekly	ADJ	O
budget	budget	NOUN	B-CONST_DIR
is	be	VERB	O
$	$	SYM	O
100000	100000	NUM	B-LIMIT
,	,	PUNCT	O
how	how	ADV	O
many	many	ADJ	O
ads	ad	NOUN	O
of	of	ADP	O
each	each	DET	O
type	type	NOUN	O
should	should	AUX	O
be	be	AUX	O
run	run	VERB	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
the	the	DET	O
number	number	NOUN	B-OBJ_NAME
of	of	ADP	I-OBJ_NAME
viewers	viewer	NOUN	I-OBJ_NAME
?	?	PUNCT	O

James	James	PROPN	O
has	have	AUX	O
available	available	ADJ	B-CONST_DIR
a	a	DET	O
field	field	NOUN	O
of	of	ADP	O
120	120	NUM	B-LIMIT
square	square	ADJ	O
feet	foot	NOUN	O
in	in	ADP	O
which	which	DET	O
he	he	PRON	O
plants	plant	VERB	O
aster	aster	NOUN	B-VAR
flowers	flower	NOUN	I-VAR
and	and	CCONJ	O
stonecrops	stonecrop	NOUN	B-VAR
.	.	PUNCT	I-VAR
The	the	DET	O
seed	seed	NOUN	O
for	for	ADP	O
aster	aster	NOUN	B-VAR
costs	cost	NOUN	O
$	$	SYM	O
20	20	NUM	B-PARAM
per	per	ADP	O
square	square	ADJ	O
foot	foot	NOUN	O
.	.	PUNCT	O
The	the	DET	O
seed	seed	NOUN	O
for	for	ADP	O
stonecrops	stonecrop	NOUN	B-VAR
costs	cost	VERB	O
$	$	SYM	O
45	45	NUM	B-PARAM
per	per	ADP	O
square	square	ADJ	O
foot	foot	NOUN	O
.	.	PUNCT	O
James	James	PROPN	O
has	have	AUX	O
available	available	ADJ	O
a	a	DET	O
budget	budget	NOUN	B-CONST_DIR
of	of	ADP	O
$	$	SYM	O
5000	5000	NUM	B-LIMIT
to	to	PART	O
spend	spend	VERB	O
on	on	ADP	O
seeds	seed	NOUN	O
.	.	PUNCT	O
The	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
square	square	ADJ	O
foot	foot	NOUN	O
of	of	ADP	O
aster	aster	NOUN	B-VAR
flowers	flower	NOUN	I-VAR
is	be	AUX	O
$	$	SYM	O
60	60	NUM	B-PARAM
and	and	CCONJ	O
the	the	DET	O
profit	profit	NOUN	B-OBJ_NAME
per	per	ADP	O
square	square	ADJ	O
foot	foot	NOUN	O
of	of	ADP	O
stonecrops	stonecrop	NOUN	B-VAR
is	be	VERB	O
$	$	SYM	O
80	80	NUM	B-PARAM
.	.	PUNCT	O
Find	find	VERB	O
the	the	DET	O
optimal	optimal	ADJ	O
solution	solution	NOUN	O
for	for	ADP	O
James	James	PROPN	O
in	in	ADP	O
order	order	NOUN	O
to	to	PART	O
maximize	maximize	VERB	B-OBJ_DIR
